level_0,index,Unnamed: 0,title,comment,date,platform,product,is.flavor,is.packaging,is.expiration,is.price,is.source,is.logistic,is.ingredient,sentiment_score
1011,1036,1225,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,口感味道：味道酸酸甜甜的很好吃 特意吃了几天才来评价 效果不错 附送的眼罩也很好用,01.08,Tmall,SLEEP,False,False,False,False,False,False,False,0.9951303523160109
1015,1040,1249,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,抱着试试看的想法，吃了后比之前快入睡，没想到效果还挺好的，而且味道还不错，象橡皮糖,01.20,Tmall,SLEEP,False,False,False,False,False,False,False,0.8491057584962569
1021,1046,1255,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,包装品质：包装好看 商品分量：份量还可以 保质期：日期比较新鲜 昨天收到的商品，准备今晚测试一下…包装看上去很卡通。也特别可爱，试了以后追加评论…主要是第一次买，希望有效…还送了眼罩非常贴心，物流很快发货很快,01.19,Tmall,SLEEP,False,False,False,False,False,False,False,0.9755860621801049
1022,1047,1256,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,包装品质：完好无损 口感味道：像QQ糖，酸酸甜甜的软糖，味道还不错～ 作用：没有任何效果，吃着玩还不错，就是有些小贵，不会再回购,01.22,Tmall,SLEEP,False,False,False,False,False,False,False,0.924611731903175
1023,1048,1257,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,其实是在抖音上面看到的，起初只是想试一试，之后发现效果不错，还挺好的。 其次它的口感很好，是那种软糖，上面裹了白砂糖好像，吃起来不是那种特别甜，不喜欢甜腻的朋友可以试一试。 最后说下它的效果，不管是我在自我催眠还是效果本身，确实对于我的睡眠有所帮助，有想法可以入手尝试。,01.14,Tmall,SLEEP,False,False,False,False,False,False,False,0.9462849690573077
1024,1049,1258,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,口感不错，效果也很好，店家还送了小礼物,01.17,Tmall,SLEEP,False,False,False,False,False,False,False,0.8437680784723763
1027,1052,1261,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,宝贝收到了，紫色软糖很好吃，效果也很明显，睡不着的时候吃一颗，非常好,01.24,Tmall,SLEEP,False,False,False,False,False,False,False,0.7588989249977887
1028,1053,1262,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,第二次回购了 不得不说真的很有效果，没吃的这几天，只能偶尔吃褪黑素解决，这次掌柜的居然还送了小礼品 真的太贴心了 吃完会再回购 爱了(⑉°з°)-♡ 包装品质：杠杠滴 商品分量：***** 保质期：***** 新鲜度：***** 口感味道：老样子 还是好吃,01.22,Tmall,SLEEP,False,False,False,False,False,False,False,0.5544536419268143
1031,1056,1265,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,我睡眠其实还行，睡前吃一颗，可以感受到效果，做梦是舒服的,01.24,Tmall,SLEEP,False,False,False,False,False,False,False,0.7951604472061264
1032,1057,1266,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,味道酸酸的很好，孩子们挺喜欢吃的，期待效果！还送了眼罩，不错,01.20,Tmall,SLEEP,False,False,False,False,False,False,False,0.7718741314611033
1035,1060,1269,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,还送了个眼罩，糖果没吃暂时不知道效果怎么样，不过感觉应该不错,01.22,Tmall,SLEEP,False,False,False,False,False,False,False,0.7028014152614632
1037,1062,1271,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,第一次体验，味道有点点奇特，感觉效果蛮不错滴,01.22,Tmall,SLEEP,False,False,False,False,False,False,False,0.959645145293269
1038,1063,1272,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,都说不错还不知道效果怎么样，看着是挺好，还有个眼罩,01.20,Tmall,SLEEP,False,False,False,False,False,False,False,0.7949505381483306
1039,1064,1273,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,送了个眼罩.没有睡眠问题，听说可以延长深度睡眠时间才买的，暂时没看到效果，倒是感觉梦变多了不知道是不是这个糖的原因,01.20,Tmall,SLEEP,False,False,False,False,False,False,False,0.3908462569488299
1042,1068,1277,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,贴心的送了蒸汽眼罩，糖果也确实有效果，可以睡得深，睡眠时间长一点，晚上睡觉不会那么浅。,01.20,Tmall,SLEEP,False,False,False,False,False,False,False,0.9540889041318921
1047,1073,1282,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,新鲜度：包装完整 效果好👌🏻 包装品质：挺管我的,01.23,Tmall,SLEEP,False,False,False,False,False,False,False,0.9694810068343569
1048,1074,1283,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,不错，吃完一盒了，期待效果，包装好看,01.23,Tmall,SLEEP,False,False,False,False,False,False,False,0.7718741314611033
1049,1075,1284,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,对象夜班倒时差买的，还没吃，但是看这包装非常的不错，糖果也是那种QQ糖似得糖果看着也很不错，期待效果,01.16,Tmall,SLEEP,False,False,False,False,False,False,False,0.7718741314611033
1050,1076,1285,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,口味可以先酸后甜，就是不知道助眠效果怎么样商家还送了个眼罩😝,01.20,Tmall,SLEEP,False,False,False,False,False,False,False,0.3190921639902552
1051,1077,1286,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,就是一般的水果味软糖。。。成分表上倒是有些有的没的，但是很多跟软糖一样。至于效果上………一言难尽，我是完全没啥反应，一包十袋二十颗，吃完之后该睡不着还是睡不着，不过第二天白天会比往常更困,01.23,Tmall,SLEEP,False,False,False,False,False,False,False,0.5629683140494108
1052,1078,1287,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,睡前吃两粒效果很好 味道也很不错,01.24,Tmall,SLEEP,False,False,False,False,False,False,False,0.9864773682402261
1054,1080,1289,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,用了几天来评价啦，效果真不错，吃完入睡蛮快的，有效果,01.20,Tmall,SLEEP,False,False,False,False,False,False,False,0.936425708561642
1056,1082,1291,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,货已收到感觉不错！包装也很好！还没吃！今晚吃看看效果！,01.12,Tmall,SLEEP,False,False,False,False,False,False,False,0.5740050861013886
1057,1083,1292,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,酸酸甜甜的，口感不错，效果也可以,01.23,Tmall,SLEEP,False,False,False,False,False,False,False,0.6291739894551844
1058,1085,1294,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,送的眼罩很好用还有精美的贴纸，糖也很好吃。有点效果的。辅助睡眠。,01.10,Tmall,SLEEP,False,False,False,False,False,False,False,0.6291739894551844
1063,1091,1300,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,效果不错味道还可以 蒸汽面罩今晚试一下,01.20,Tmall,SLEEP,False,False,False,False,False,False,False,0.585964875847683
1065,1093,1302,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,口感味道：酸酸甜甜味道不错，效果也非常明显！值得推荐,01.11,Tmall,SLEEP,False,False,False,False,False,False,False,0.6291739894551844
1067,1095,1304,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,看着很不错，今天就试试效果,01.20,Tmall,SLEEP,False,False,False,False,False,False,False,0.8228901999870786
1074,1102,1311,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,包装非常酷，还送了一个眼罩，昨晚第一次吃感觉味道挺不错的，之后会再看看效果怎么样。,01.18,Tmall,SLEEP,False,False,False,False,False,False,False,0.5454601394432171
1078,1106,1315,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,包装品质：挺好的 精美 口感味道：味道不错哦 期待效果,01.18,Tmall,SLEEP,False,False,False,False,False,False,False,0.9972227328127969
1083,1111,1320,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,这东西非常好 效果好 特别适用于我的失眠问题 效果明显 ！可以购买1包装也不错 总体感觉很好,01.19,Tmall,SLEEP,False,False,False,False,False,False,False,0.9711474000996829
1089,1117,1326,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,味道不错，也的确对入眠有效果,01.20,Tmall,SLEEP,False,False,False,False,False,False,False,0.8157432084674401
1090,1118,1327,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,吃了半盒才来点评，确实很有效果~能帮助睡眠质量更好,01.23,Tmall,SLEEP,False,False,False,False,False,False,False,0.8984919924078835
1092,1120,1329,BUFFX SLEEP非助深度睡眠神器无糖软糖GABAbuff糖非褪黑素无依赖-tmall.com天猫,很好，买回来看起来很好，效果很期待,01.20,Tmall,SLEEP,False,False,False,False,False,False,False,0.8625818369826227
